query_id,query,steps,redundant_asking,goal1,goal2,goal3,reason
10,Recommend news articles based on my reading history?,1,0,Failure,,,
11,Download subtitles for an entire YouTube playlist or channel at once?,1,0,Failure,,,
12,Filter out specific words or phrases from the subtitles?,1,0,Failure,,,
13,Estimate for the transaction fees for sending cryptocurrency through the Address Monitor API?,1,0,Failure,,,
14,Track addresses across different blockchain networks apart from BSC_TESTNET?,1,0,Failure,,,
15,Check and validate the SSL/TLS certificates of a website?,1,0,Failure,,,
16,"Provide detailed geolocation data for an IP address, such as the city or GPS coordinates?",1,0,Failure,,,
17,I'm planning to create a playlist of songs discovered by a particular artist. Can you provide me the Twitter handle by the artist with ID '2w9zwq3AktTeYYMuhMjju8'?,1,0,Failure,,,
18,I'm interested in official social media profiles of a specific artist has appeared. Can you give me details about the official social media profiles of where the artist with ID '2w9zwq3AktTeYYMuhMjju8' has appeared?,1,0,Failure,,,
19,Delete a court record from the system ?,1,0,Failure,,,
1,Calculate the most efficient delivery route using the SQUAKE API?,1,0,Failure,,,
20,Upload a new document to a case record using this API?,1,0,Failure,,,
21,Fetch the current Instagram Stories posted by user ID '391362994',1,0,Failure,,,
22,Fetch the live video stream details or analytics for a user ID '391362994'?,1,0,Failure,,,
23,Check the historical records or current status for the CNPJ '99.888.777/0001-33'?,1,0,Failure,,,
24,Provide the company name and address associated with the CNPJ number '99.888.777/0001-33'?,1,0,Failure,,,
25,Provide me with French subtitles for the video with the ID 'Wrald_EZgDQ'?,1,0,Failure,,,
26,Get subtitles for a Vimeo video with the ID '12345abc'?,1,0,Failure,,,
27,"Calculate my age if I provide my date of birth in the format DD/MM/YYYY, such as '28/02/1997'?",1,0,Failure,,,
28,Tell me the age difference in years and months between two people born on '19970228' and '19870630'?,1,0,Failure,,,
29,Get a list of all subscribers to a specific YouTube channel?,1,0,Failure,,,
2,Retrieve a list of projects that were completed in 2023 using the SQUAKE API?,8,0,Failure,,,
30,Upload a video to YouTube ,1,0,Failure,,,
31,Follow or unfollow a user with ID '987654321',1,0,Failure,,,
32,Retrieve the profile pictures of a a user with ID '987654321' followers,1,0,Failure,,,
33,"Get analytics data for my channel 'gmhikaru', such as viewer count or engagement metrics?'",1,0,Failure,,,
34,Ban  a user 'KMLT96' from my channel 'gmhikaru''s chat ,1,0,Failure,,,
35,How old is the domain 'example.com' ,1,0,Failure,,,
36,What is the SPF record for 'example.com' ,1,0,Failure,,,
37,Provide the ownership history for the Tesla with VIN '0f7885c2af1a6ef9' ,1,0,Failure,,,
38, What is the service and repair history of the Tesla with VIN '0f7885c2af1a6ef9'?,1,0,Failure,,,
39,Show me all the completed/incomplete todo list items?,10,1,Failure,,,
3,Which transitaire in New Caledonia has the most clients?,1,0,Failure,,,
40,Mark the todo list item with ID 5 as completed?,1,0,Failure,,,
41,Provide me with arrest records from 2010 for 'az-mcso'.,1,0,Failure,,,
42,Give me the court case outcomes for individuals arrested by 'az-mcso'.,1,0,Failure,,,
43,How many people are currently watching the show with title ID 80057281?,1,0,Failure,,,
44,Perform sentiment analysis on reviews for the show with title ID 80057281.,1,0,Failure,,,
45,"How many users are currently online on mycompanywebsite.com, and where are they from?",1,0,Failure,,,
46,Perform sentiment analysis on reviews for the show with title ID 80057281.,1,0,Failure,,,
47,List all friends of the user with Facebook ID 5555555555?,1,0,Failure,,,
48,Fetch the latest notifications for the user with Facebook ID 5555555555?,1,0,Failure,,,
49,I'm concerned about the whether this ip address is accessible. Can you check if the IP address 288.288.288.288 is accessible?,1,0,Failure,,,
4,Give me the website address for the 'Gondrand' customs agency?,1,0,Failure,,,
50,"I'm a music lover, can you help me find the billboard top 100 songs for this week?",1,0,Failure,,,
5,Schedule a pickup for my package with tracking number NY323068698GB?,1,0,Failure,,,
6,Get real-time notifications on my phone for package NY323068698GB?,1,0,Failure,,,
7,See if WhatsApp number 34655719560 has blocked any contacts?,1,0,Failure,,,
8,Download voice messages or video files sent from WhatsApp number 34655719560?,1,0,Failure,,,
9,Download the articles in a PDF format through the API?,1,0,Failure,,,
